[TRACK]
00  40--
E-1 00 F01
A-1 00 F
C#2 00 F
E-2 00 F
A-2 00 F02
C#3 00 F
E-1 00 F
A-1 00 F
C#2 00 F02
E-2 00 F03
A-2 00 F02
C#3 00 F03
E-1 00 F03
A-1 00 F
C#2 00 F
E-2 00 F
A-2 00 F
C#3 00 F03
E-1 00 F04
A-1 00 F03
C#2 00 F
E-2 00 F
A-2 00 F
C#3 00 F
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -
--- -- -

